# Auto-Generated File (Please do not edit)
[0]
0,0,0,0,0,0,00
1,0,0,0,0,0,00
2,0,0,0,0,0,01
3,0,0,0,0,0,01
4,0,0,0,0,0,02
5,0,0,0,0,0,02
6,0,0,0,0,0,03
7,0,0,0,0,0,03
0,1,0,0,0,0,00
1,1,0,0,0,0,01
2,1,0,0,0,0,02
3,1,0,0,0,0,03
4,1,0,0,0,0,04
5,1,0,0,0,0,05
6,1,0,0,0,0,06
7,1,0,0,0,0,07
0,2,0,0,0,0,01
1,2,0,0,0,0,02
2,2,0,0,0,0,04
3,2,0,0,0,0,05
4,2,0,0,0,0,07
5,2,0,0,0,0,08
6,2,0,0,0,0,0A
7,2,0,0,0,0,0B
0,3,0,0,0,0,01
1,3,0,0,0,0,03
2,3,0,0,0,0,05
3,3,0,0,0,0,07
4,3,0,0,0,0,09
5,3,0,0,0,0,0B
6,3,0,0,0,0,0D
7,3,0,0,0,0,0F
0,4,0,0,0,0,02
1,4,0,0,0,0,04
2,4,0,0,0,0,07
3,4,0,0,0,0,09
4,4,0,0,0,0,0C
5,4,0,0,0,0,0E
6,4,0,0,0,0,11
7,4,0,0,0,0,13
0,5,0,0,0,0,02
1,5,0,0,0,0,05
2,5,0,0,0,0,08
3,5,0,0,0,0,0B
4,5,0,0,0,0,0E
5,5,0,0,0,0,11
6,5,0,0,0,0,14
7,5,0,0,0,0,17
0,6,0,0,0,0,03
1,6,0,0,0,0,06
2,6,0,0,0,0,0A
3,6,0,0,0,0,0D
4,6,0,0,0,0,11
5,6,0,0,0,0,14
6,6,0,0,0,0,18
7,6,0,0,0,0,1B
0,7,0,0,0,0,03
1,7,0,0,0,0,07
2,7,0,0,0,0,0B
3,7,0,0,0,0,0F
4,7,0,0,0,0,13
5,7,0,0,0,0,17
6,7,0,0,0,0,1B
7,7,0,0,0,0,1F
0,0,1,0,0,0,00
1,0,1,0,0,0,01
2,0,1,0,0,0,02
3,0,1,0,0,0,03
4,0,1,0,0,0,04
5,0,1,0,0,0,05
6,0,1,0,0,0,06
7,0,1,0,0,0,07
0,1,1,0,0,0,01
1,1,1,0,0,0,03
2,1,1,0,0,0,05
3,1,1,0,0,0,07
4,1,1,0,0,0,09
5,1,1,0,0,0,0B
6,1,1,0,0,0,0D
7,1,1,0,0,0,0F
0,2,1,0,0,0,02
1,2,1,0,0,0,05
2,2,1,0,0,0,08
3,2,1,0,0,0,0B
4,2,1,0,0,0,0E
5,2,1,0,0,0,11
6,2,1,0,0,0,14
7,2,1,0,0,0,17
0,3,1,0,0,0,03
1,3,1,0,0,0,07
2,3,1,0,0,0,0B
3,3,1,0,0,0,0F
4,3,1,0,0,0,13
5,3,1,0,0,0,17
6,3,1,0,0,0,1B
7,3,1,0,0,0,1F
0,4,1,0,0,0,04
1,4,1,0,0,0,09
2,4,1,0,0,0,0E
3,4,1,0,0,0,13
4,4,1,0,0,0,18
5,4,1,0,0,0,1D
6,4,1,0,0,0,22
7,4,1,0,0,0,27
